userId,movieId,rating
1,2,3.5
1,29,3.5
1,32,3.5
1,47,3.5
1,50,3.5
1,112,3.5
1,151,4
1,223,4
1,253,4
1,260,4
1,293,4
1,296,4
1,318,4
1,337,3.5
1,367,3.5
1,541,4
1,589,3.5
1,593,3.5
1,653,3
1,919,3.5
1,924,3.5
2,3,4
2,62,5
2,70,5
2,110,4
2,242,3
2,260,5
2,266,5
2,469,3
2,480,5
2,541,5
2,589,5
2,891,2
2,908,4
2,924,5
3,1,4
3,24,3
3,32,4
3,50,5
3,160,3
3,173,2
3,175,5
3,196,3
3,223,5
3,260,5
3,316,5
3,318,5
3,329,5
3,337,3
3,440,3
3,442,3
3,457,5
3,480,5
3,490,5
3,512,2
3,541,5
3,589,4
3,593,5
3,610,4
3,718,3
3,780,3
3,788,4
3,858,5
3,904,5
3,905,3
3,919,4
3,924,5
3,953,5
3,968,3
4,6,3
4,10,4
4,19,3
4,32,1
4,165,3
4,329,3
4,350,4
4,356,4
4,367,3
4,368,4
4,370,4
4,377,4
4,380,3
4,420,3
4,431,4
4,440,3
4,454,5
4,480,4
4,489,4
4,519,3
4,520,4
4,531,3
4,548,3
4,586,4
4,589,4
4,594,4
4,596,4
4,733,5
5,2,3
5,11,5
5,17,3
5,60,3
5,62,5
5,104,2
5,110,4
5,140,2
5,141,5
5,150,5
5,224,2
5,235,3
5,260,5
5,282,4
5,316,4
5,318,5
5,350,4
5,364,5
5,367,3
5,368,5
5,370,4
5,376,4
5,377,5
5,380,5
5,440,5
5,454,5
5,457,5
5,475,4
5,480,4
5,491,4
5,500,5
5,508,5
5,515,3
5,529,4
5,531,5
5,587,4
5,588,5
5,589,5
5,590,5
5,593,3
5,594,5
5,595,5
5,608,3
5,631,3
5,648,3
5,671,5
5,708,3
5,720,5
5,736,5
5,780,5
5,788,3
5,832,5
6,1,5
6,3,3
6,7,5
6,17,5
6,52,5
6,62,5
6,135,3
6,140,4
6,141,5
6,260,4
6,494,4
6,628,4
6,648,5
6,653,4
6,708,4
6,719,3
6,733,3
6,736,2
6,743,3
6,762,3
6,780,3
6,788,4
6,802,3
7,3,3
7,7,3
7,11,4
7,15,2
7,16,3
7,17,2
7,24,3
7,105,2
7,122,2
7,151,3
7,252,2
7,260,5
7,271,3
7,276,2
7,316,3
7,339,3
7,348,4
7,351,3
7,355,3
7,356,4
7,357,3
7,362,3
7,364,4
7,377,3
7,425,3
7,440,4
7,480,5
7,509,2
7,539,4
7,553,4
7,587,5
7,589,5
7,590,4
7,597,4
7,674,2
7,708,3
7,736,3
7,750,5
7,780,4
7,788,3
7,806,1
7,852,3
7,880,3
7,899,4
7,908,4
7,912,5
7,914,3
7,920,4
7,922,3
7,924,3
7,928,3
7,932,3
7,952,3
8,1,4
8,3,5
8,6,3
8,10,4
8,19,1
8,21,4
8,39,3
8,47,5
8,48,4
8,110,5
8,150,4
8,153,3
8,161,4
8,165,3
8,168,3
8,172,1
8,173,3
8,185,2
8,207,4
8,208,3
8,231,3
8,236,4
8,253,4
8,266,5
8,276,3
8,277,4
8,288,5
8,292,4
8,296,5
8,316,2
8,329,3
8,338,2
8,339,4
8,344,3
8,349,5
8,350,4
8,353,3
8,355,2
8,356,5
8,357,4
8,364,4
8,367,3
8,372,4
8,377,4
8,380,4
8,381,4
8,434,5
8,442,4
8,454,4
8,457,5
8,480,4
8,500,4
8,508,3
8,527,5
8,539,4
8,550,4
8,551,4
8,552,3
8,553,5
8,587,4
8,588,3
8,589,5
8,590,5
8,592,4
8,593,5
8,595,3
8,597,5
8,610,4
8,648,5
8,733,4
9,356,4
9,858,5
10,1,4
10,11,4
10,25,4
10,260,4
10,356,3
10,527,5
10,858,5
10,912,4
10,969,4
